timestamp,experiment,iteration,audio_duration_s,arrival_time_s,asr_start_time_s,asr_finish_time_s,queue_wait_ms,service_time_ms,e2e_latency_ms,rtf,queue_depth_at_arrival,queue_depth_at_start,cpu_percent,cpu_freq_mhz,cpu_temp_c,rss_mb,success,error
2026-09-11T17:04:57.320,exp2_1.50x,7,17.302,69.20805901399581,69.20807725499617,76.37408498997684,0.01824100036174059,7166.007734980667,7166.025975981029,0.41417221910650026,1,0,62.3720761351142,2800.0,52.35,335.640625,True,
2026-09-11T17:05:08.868,exp2_1.50x,8,17.302,80.74273076897953,80.74278176898952,87.92141324098338,0.051000009989365935,7178.631471993867,7178.682472003857,0.41490183053946755,1,0,62.26539874833635,2800.0,50.15,335.640625,True,
2026-09-11T17:05:20.366,exp2_1.50x,9,17.302,92.27739734697388,92.27743212398491,99.4203361949767,0.03477701102383435,7142.90407099179,7142.938848002814,0.4128369015715981,1,0,62.26672118044452,2800.0,52.9,335.640625,True,
2026-09-11T17:05:31.904,exp2_1.50x,10,17.302,103.8120605959848,103.81208187298034,110.95765606898931,0.021276995539665222,7145.574196008965,7145.595473004505,0.4129912262171405,1,0,61.88604698958335,2800.0,52.35,335.640625,True,
2026-09-11T17:05:43.475,exp2_1.50x,11,17.302,115.34672519698506,115.34674838199862,122.52856505700038,0.023185013560578227,7181.816675001755,7181.839860015316,0.4150859250376694,1,0,62.225056502879504,2800.0,51.8,335.640625,True,
2026-09-11T17:05:55.021,exp2_1.50x,12,17.302,126.88139951697667,126.8814389979816,134.07460470599472,0.0394810049328953,7193.165708013112,7193.205189018045,0.4157418626755931,1,0,62.35902807412388,2800.0,50.7,335.640625,True,
2026-09-11T17:06:06.547,exp2_1.50x,13,17.302,138.41606881198823,138.41611746000126,145.6008072969853,0.04864801303483546,7184.689836984035,7184.7384849970695,0.41525198456733525,1,0,62.46642942380992,2800.0,50.7,335.640625,True,
2026-09-11T17:06:18.090,exp2_1.50x,14,17.302,149.95073491099174,149.9507756519888,157.1439547560003,0.040740997064858675,7193.179104011506,7193.219845008571,0.41574263692125224,1,0,62.37462890173447,2800.0,51.8,335.640625,True,
2026-09-11T17:06:29.592,exp2_1.50x,15,17.302,161.48540097798104,161.4854338299774,168.64544424097403,0.03285199636593461,7160.01041099662,7160.043262992986,0.4138255930526309,1,0,62.513618578816136,2800.0,50.7,335.640625,True,
2026-09-11T17:06:41.198,exp2_1.50x,16,17.302,173.02006528698257,173.02015389699955,180.25210373697337,0.0886100169736892,7231.949839973822,7232.038449990796,0.41798346087006255,1,0,62.29174441235295,2800.0,52.9,335.625,True,
