experiment,elapsed_s,queue_depth,cpu_percent,cpu_freq_mhz,cpu_temp_c,rss_mb
exp2_0.75x,78.11364480300108,0,0.0,2800.0,45.75,330.890625
exp2_0.75x,78.61416671497864,0,0.0,2800.0,45.2,330.890625
exp2_0.75x,79.11465294100344,0,0.0,2800.0,45.2,330.890625
exp2_0.75x,79.61516670600395,0,0.0,1500.0,44.65,330.890625
exp2_0.75x,80.11597778298892,0,0.0,1500.0,44.65,330.890625
exp2_0.75x,80.6167148629902,0,0.0,1500.0,44.1,330.890625
exp2_0.75x,81.11736285200459,0,0.0,1500.0,44.65,330.890625
exp2_0.75x,81.6181258779834,0,0.0,1900.0,45.75,330.890625
exp2_0.75x,82.11878434900427,0,0.0,1500.0,44.1,330.890625
exp2_0.75x,82.61951967398636,0,0.0,1500.0,45.2,330.890625
exp2_0.75x,83.12029733098461,0,0.0,1500.0,45.2,330.890625
exp2_0.75x,83.62107286098762,0,0.0,1700.0,43.55,330.890625
exp2_0.75x,84.1217988729768,0,1.9970973547542226,1500.0,43.0,330.890625
exp2_0.75x,84.62256203399738,0,0.0,1500.0,43.0,330.890625
exp2_0.75x,85.12332662098925,0,0.0,1500.0,44.1,330.890625
exp2_0.75x,85.62413096998353,0,0.0,1500.0,43.55,330.890625
exp2_0.75x,86.12490174398408,0,0.0,2800.0,44.65,330.890625
exp2_0.75x,86.62541915199836,0,0.0,2800.0,44.65,330.890625
exp2_0.75x,87.12587526298012,0,0.0,2800.0,45.75,330.890625
exp2_0.75x,87.62637972799712,0,0.0,2800.0,44.65,330.890625
exp2_0.75x,88.12678689797758,0,0.0,2800.0,44.65,330.890625
exp2_0.75x,88.6273024760012,0,0.0,2800.0,45.75,330.890625
exp2_0.75x,89.12782681299723,0,0.0,2800.0,46.3,330.890625
exp2_0.75x,89.62831144899246,0,0.0,2800.0,45.75,330.890625
exp2_0.75x,90.1286962890008,0,0.0,2800.0,45.75,330.890625
exp2_0.75x,90.62921238900162,0,0.0,2800.0,45.2,330.890625
exp2_0.75x,91.12965823098784,0,0.0,1500.0,43.55,330.890625
exp2_0.75x,91.63038660900202,0,0.0,1500.0,44.65,330.890625
exp2_0.75x,92.13113293200149,0,0.0,2800.0,45.75,330.890625
exp2_0.75x,92.63167666498339,0,69.90511401044476,2800.0,46.3,374.859375
exp2_0.75x,93.13241078599822,0,99.87463676179864,2800.0,46.3,333.890625
exp2_0.75x,93.63305840900284,0,99.87050250819088,2800.0,46.3,333.890625
exp2_0.75x,94.13567305597826,0,99.48271594521081,2800.0,47.4,333.890625
exp2_0.75x,94.63630849600304,0,99.86298897613726,2800.0,47.95,333.890625
exp2_0.75x,95.13714099000208,0,99.83155202731416,2800.0,46.85,333.890625
exp2_0.75x,95.63791774600395,0,99.85297647387421,2800.0,46.85,333.890625
exp2_0.75x,96.13856505797594,0,99.86248616456842,2800.0,47.4,333.890625
exp2_0.75x,96.63935559298261,0,99.82580456793185,2800.0,47.4,333.890625
exp2_0.75x,97.14057523600059,0,101.77815821767817,2800.0,47.95,333.890625
exp2_0.75x,97.64123768199352,0,99.85407984363145,2800.0,47.4,333.890625
exp2_0.75x,98.14207412599353,0,99.83472560750249,2800.0,48.5,333.890625
exp2_0.75x,98.64300727497903,0,99.82469645180774,2800.0,48.5,333.890625
exp2_0.75x,99.1436722590006,0,99.86734979310984,2800.0,47.95,333.890625
exp2_0.75x,99.64428857900202,0,57.937677715803034,2800.0,46.85,330.890625
exp2_0.75x,100.14470278899535,0,0.0,2800.0,46.85,330.890625
exp2_0.75x,100.64522661099909,0,0.0,2800.0,47.4,330.890625
exp2_0.75x,101.14574328498566,0,0.0,2800.0,45.75,330.890625
exp2_0.75x,101.64618670198251,0,0.0,2800.0,46.85,330.890625
exp2_0.75x,102.14662061899435,0,0.0,2800.0,45.75,330.890625
exp2_0.75x,102.64714009300224,0,0.0,2800.0,45.75,330.890625
exp2_0.75x,103.14767175199813,0,0.0,2800.0,46.3,330.890625
exp2_0.75x,103.64818109897897,0,0.0,2800.0,45.2,330.890625
exp2_0.75x,104.14869805600028,0,0.0,2800.0,46.3,330.890625
exp2_0.75x,104.64916925597936,0,0.0,2800.0,46.3,330.890625
exp2_0.75x,105.14969504799228,0,0.0,2800.0,45.75,330.890625
exp2_0.75x,105.65021023098961,0,0.0,2800.0,46.3,330.890625
exp2_0.75x,106.15066126699094,0,0.0,2800.0,44.65,330.890625
exp2_0.75x,106.65114702598657,0,0.0,2800.0,46.3,330.890625
exp2_0.75x,107.15168065499165,0,0.0,1500.0,44.65,330.890625
exp2_0.75x,107.65239506200305,0,1.9972230450483437,1500.0,44.1,330.890625
exp2_0.75x,108.15306437699473,0,0.0,1500.0,45.75,330.890625
exp2_0.75x,108.65382734200102,0,0.0,1500.0,44.1,330.890625
exp2_0.75x,109.1545971769956,0,0.0,1500.0,44.1,330.890625
exp2_0.75x,109.65529986500042,0,0.0,1500.0,44.1,330.890625
exp2_0.75x,110.15608971999609,0,0.0,1500.0,43.55,330.890625
exp2_0.75x,110.65676450400497,0,0.0,2800.0,44.1,330.890625
exp2_0.75x,111.15728930698242,0,0.0,2800.0,46.3,330.890625
exp2_0.75x,111.65780620399164,0,0.0,2800.0,44.65,330.890625
exp2_0.75x,112.15819428800023,0,0.0,2800.0,46.3,330.890625
exp2_0.75x,112.65862765000202,0,0.0,2800.0,45.2,330.890625
exp2_0.75x,113.15916077198926,0,0.0,2800.0,44.65,330.90625
exp2_0.75x,113.65965363598661,0,0.0,2800.0,45.2,330.90625
exp2_0.75x,114.1600753889943,0,0.0,2800.0,45.2,330.90625
exp2_0.75x,114.6605987729854,0,0.0,2800.0,46.3,330.90625
exp2_0.75x,115.16111036197981,0,0.0,2800.0,44.1,330.90625
exp2_0.75x,115.66155965498183,0,61.932235110505225,2800.0,45.75,374.890625
exp2_0.75x,116.16227790998528,0,101.86228300648179,2800.0,47.95,333.921875
exp2_0.75x,116.6628595200018,0,97.88362752534773,2800.0,47.4,333.921875
exp2_0.75x,117.16350279498147,0,99.87492742587348,2800.0,46.3,333.921875
exp2_0.75x,117.66767886298476,0,101.15464075638671,2800.0,47.95,333.921875
exp2_0.75x,118.16827897398616,0,99.88145190085157,2800.0,46.85,333.921875
exp2_0.75x,118.66883140199934,0,99.88865332262735,2800.0,47.95,333.921875
exp2_0.75x,119.1693936069787,0,99.88730075406605,2800.0,47.95,333.921875
exp2_0.75x,119.67000209199614,0,99.877021219867,2800.0,48.5,333.921875
exp2_0.75x,120.17062259599334,0,99.87778575046808,2800.0,46.85,333.921875
exp2_0.75x,120.67118628599565,0,99.8856004181997,2800.0,47.4,333.921875
exp2_0.75x,121.17179027298698,0,99.87451227162619,2800.0,46.85,333.921875
exp2_0.75x,121.67567149698152,0,99.23529598568095,2800.0,47.4,333.921875
exp2_0.75x,122.1762722079875,0,99.88106242866053,2800.0,49.05,334.03125
exp2_0.75x,122.67681243899278,0,75.9293617007346,2800.0,48.5,332.03125
exp2_0.75x,123.17714878299739,0,0.0,2800.0,46.3,332.03125
exp2_0.75x,123.67764907199307,0,0.0,2800.0,46.85,332.03125
exp2_0.75x,124.1780523249763,0,0.0,2800.0,45.75,332.03125
exp2_0.75x,124.67849444897729,0,0.0,2800.0,46.3,332.03125
exp2_0.75x,125.1789572769776,0,0.0,2800.0,44.1,332.03125
exp2_0.75x,125.67947256899788,0,0.0,1800.0,45.75,332.03125
exp2_0.75x,126.1800091759942,0,0.0,1700.0,45.2,332.03125
exp2_0.75x,126.68065448798006,0,0.0,1500.0,45.2,332.03125
exp2_0.75x,127.1813064290036,0,0.0,2800.0,45.75,332.03125
exp2_0.75x,127.6818242429872,0,0.0,2800.0,45.2,332.03125
exp2_0.75x,128.18232522398466,0,0.0,2800.0,46.3,332.03125
exp2_0.75x,128.6828183179896,0,0.0,2800.0,45.2,332.03125
exp2_0.75x,129.18327609699918,0,0.0,2800.0,46.3,332.03125
exp2_0.75x,129.68380513699958,0,0.0,2800.0,45.75,332.03125
exp2_0.75x,130.18423571498715,0,0.0,2800.0,46.3,332.03125
exp2_0.75x,130.6847061640001,0,0.0,2800.0,45.75,332.03125
exp2_0.75x,131.18521520600189,0,0.0,2800.0,47.4,332.03125
exp2_0.75x,131.68573030398693,0,1.9980642952294083,2800.0,44.1,332.03125
exp2_0.75x,132.18617701498442,0,0.0,1700.0,44.1,332.03125
exp2_0.75x,132.68684522499098,0,0.0,1500.0,44.1,332.03125
exp2_0.75x,133.1875218990026,0,0.0,1500.0,44.1,332.03125
exp2_0.75x,133.68831822098582,0,0.0,2800.0,44.65,332.03125
exp2_0.75x,134.18884758200147,0,0.0,2800.0,45.75,332.03125
exp2_0.75x,134.68934055700083,0,0.0,2800.0,44.65,332.03125
exp2_0.75x,135.1897936059977,0,0.0,2800.0,45.75,332.03125
exp2_0.75x,135.69029398899875,0,0.0,2800.0,44.65,332.03125
exp2_0.75x,136.19081750197802,0,0.0,2800.0,45.75,332.03125
exp2_0.75x,136.6913095539785,0,0.0,2800.0,45.75,332.03125
exp2_0.75x,137.19182906899368,0,0.0,2800.0,45.2,332.03125
exp2_0.75x,137.6922961039818,0,0.0,2800.0,44.65,332.03125
exp2_0.75x,138.192824378988,0,0.0,2800.0,46.3,332.03125
exp2_0.75x,138.6956960099924,0,55.676619838319645,2800.0,45.75,343.546875
exp2_0.75x,139.19639750898932,0,99.84664693028455,2800.0,46.85,334.046875
exp2_0.75x,139.69708887898014,0,99.86088280299448,2800.0,47.4,334.046875
exp2_0.75x,140.19791300798533,0,99.8257782626498,2800.0,47.4,334.046875
exp2_0.75x,140.69911424600286,0,99.78002973570793,2800.0,47.95,334.046875
exp2_0.75x,141.19983409999986,0,101.85472094410972,2800.0,48.5,334.046875
exp2_0.75x,141.70049423299497,0,99.8631240082017,2800.0,49.05,334.046875
exp2_0.75x,142.201242309995,0,99.84251440750323,2800.0,48.5,334.046875
exp2_0.75x,142.70210672100075,0,99.81651807555805,2800.0,48.5,334.046875
exp2_0.75x,143.2033812769805,0,99.76923714841287,2800.0,47.95,334.046875
